,Name,Type,Location,Price,Price Category
0,Raffles Singapore,Cultural & Heritage,1 Beach Road,0.0,Free
1,Singapore Botanic Gardens,Outdoor & Nature,1 Cluny Road,0.0,Free
2,Asian Civilisations Museum,Cultural & Heritage,1 Empress Pl,12.0,$
3,Esplanade Theatre,Cultural & Heritage,1 Esplanade Drive,0.0,Free
4,Lasalle College of the Arts,Cultural & Heritage,1 McNally Street,0.0,Free
5,Old Supreme Court,Cultural & Heritage,1 St Andrew's Road,0.0,Free
6,National Gallery Singapore,Cultural & Heritage,1 St. Andrew's Road,0.0,Free
7,Delta Sports and Recreation Centre (Swimming),Fitness & Wellness,900 Tiong Bahru Road Singapore 158790,1.0,$
8,Queenstown Sports & Recreation Centre (Swimming),Fitness & Wellness,473 Stirling Road Singapore 148948,1.0,$
9,Katong Swimming Complex (Swimming),Fitness & Wellness,111 Wilkinson Road Singapore 436752,1.0,$
10,Water-Venture (Kallang),Fitness & Wellness,"10 Stadium Ln, Singapore 397774",15.0,$
11,Clementi Sports and Recreation Centre (Swimming),Fitness & Wellness,520 Clementi Avenue 3 Singapore 129908,1.0,$
12,Jalan Besar Sports and Recreation Centre (Swimming),Fitness & Wellness,100 Tyrwhitt Road Singapore 207542,1.0,$
13,Water-Venture (East Coast),Fitness & Wellness,"1390 ECP, Singapore 468961",~25.0,$
14,Co-Curricular Activities Branch (CCAB) Sports Fac (Swimming),Fitness & Wellness,"21 Evans Rd, Singapore 259368.",1.0,$
15,Geylang East Swimming Complex,Fitness & Wellness,"601 Aljunied Ave 1, Singapore 389862",1.0,$
16,Kallang Basin Swimming Complex,Fitness & Wellness,"23 Geylang Bahru Ln, Singapore 339628",1.0,$
17,Bedok Sports and Recreation Centre (Swimming),Fitness & Wellness,"11 Bedok North Street 1, Singapore 469662",1.0,$
18,Toa Payoh Sports and Recreation Centre (Swimming),Fitness & Wellness,"301 Lor 6 Toa Payoh, Singapore 319392",1.0,$
19,Jurong West Sports and Recreation Centre (Swimming),Fitness & Wellness,"20 Jurong West Street 93, Singapore 648965",1.0,$
20,Water-Venture (Bedok Reservoir),Fitness & Wellness,911 Bedok Reservoir Rd,15.0,$
21,Bukit Batok Swimming Complex,Fitness & Wellness,"2 Bukit Batok Street 22, Singapore 659581",1.0,$
22,Jurong East Sports and Recreation Centre (Swimming),Fitness & Wellness,"21 Jurong East Street 31, Singapore 609517",1.0,$
23,Bishan Sports and Recreation Centre (Swimming),Fitness & Wellness,1 Bishan Street 14 Singapore 579778,1.0,$
24,Tampines Swimming Complex,Fitness & Wellness,"505 Tampines Ave 5, Singapore 529652",1.0,$
25,Serangoon Sports and Recreation Centre (Swimming),Fitness & Wellness,"35 Yio Chu Kang Rd, Singapore 545552",1.0,$
26,Ang Mo Kio Swimming Complex,Fitness & Wellness,"1771 Ang Mo Kio Ave 1, Singapore 569978",1.0,$
27,Hougang Sports and Recreation Centre (Swimming),Fitness & Wellness,95 Hougang Ave 4,1.0,$
28,Pasir Ris Sports and Recreation Centre (Swimming),Fitness & Wellness,"120 Pasir Ris Central, Singapore 519640",1.0,$
29,Yio Chu Kang Sports and Recreation Centre (Swimming),Fitness & Wellness,202 Ang Mo Kio Avenue 9 Singapore 569771,1.0,$
30,Water-Venture (Pasir Ris),Fitness & Wellness,"125 Elias Rd, Singapore 519926",~32.5,$
31,Choa Chu Kang Sports and Recreation Centre (Swimming),Fitness & Wellness,"1 Choa Chu Kang Street 53, Singapore 689236",1.0,$
32,Sengkang Sports and Recreation Centre (Swimming),Fitness & Wellness,"57 Anchorvale Rd, Singapore 544964",1.0,$
33,Water-Venture (Lower Seletar Reservoir),Fitness & Wellness,"100 Yishun Ave 1, Singapore 769140",15.0,$
34,Yishun Swimming Complex,Fitness & Wellness,"351 Yishun Ave 3, Singapore 769057",1.0,$
35,Woodlands Sports and Recreation Centre (Swimming),Fitness & Wellness,"2 Woodlands Street 12, Singapore 738599",1.0,$
36,Water-Venture (Sembawang),Fitness & Wellness,"60 Jln Mempurong, Singapore 759058",15.0,$
37,Woodlands Primary School,Fitness & Wellness,10 Woodlands Drive 50,0.0,Free
38,Woodlands Ring Secondary School,Fitness & Wellness,10 Woodlands Ring Road,0.0,Free
39,Orchid Park Secondary School,Fitness & Wellness,10 Yishun Street 81,0.0,Free
40,Dairy Farm Nature Park,Outdoor & Nature,100 Dairy Farm Road,0.0,Free
41,Yuhua Secondary School,Fitness & Wellness,11 Jurong East Street 24,0.0,Free
42,Westwood Secondary School,Fitness & Wellness,11 Jurong West Street 25,0.0,Free
43,North Vista Secondary School,Fitness & Wellness,11 Rivervale Link,0.0,Free
44,St Andrew's Cathedral,Cultural & Heritage,11 St Andrew's Road,0.0,Free
45,Marsiling Secondary School,Fitness & Wellness,12 Marsiling Road,0.0,Free
46,Zhonghua Primary School,Fitness & Wellness,12 Serangoon Ave 4,0.0,Free
47,Zhonghua Secondary School,Fitness & Wellness,12 Serangoon Ave 4,0.0,Free
48,Zonghua Primary School,Fitness & Wellness,12 Serangoon Ave 4,0.0,Free
49,Zonghua Secondary School,Fitness & Wellness,12 Serangoon Ave 4,0.0,Free
50,Eurasian Heritage Centre,Cultural & Heritage,139 Ceylon Road,0.0,Free
51,Sri Veeramakaliamman Temple,Cultural & Heritage,141 Serangoon Road,0.0,Free
52,Kent Ridge Secondary School,Fitness & Wellness,147 West Coast Road,0.0,Free
53,Northland Primary School,Fitness & Wellness,15 Yishun Avenue 4,0.0,Free
54,Yuhua Primary School,Fitness & Wellness,158 Jurong East Street 24,0.0,Free
55,Thian Hock Keng Temple,Cultural & Heritage,158 Telok Ayer Street,0.0,Free
56,Gardens by the Bay,Cultural & Heritage,18 Marina Gardens Drive,0.0,Free
57,Lau Pa Sat,Cultural & Heritage,18 Raffles Quay,0.0,Free
58,The Interlace,Cultural & Heritage,180-226 Depot Road,0.0,Free
59,Woodgrove Primary School,Fitness & Wellness,2 Woodlands Drive 14,0.0,Free
60,Unity Secondary School,Fitness & Wellness,20 Choa Chu Kang St 62,0.0,Free
61,Meridian Primary School,Fitness & Wellness,20 Pasir Ris Street 71,0.0,Free
62,Unity Primary School,Fitness & Wellness,21 Choa Chu Kang Crescent,0.0,Free
63,Jurong East Sports and Recreation Centre,Fitness & Wellness,21 Jurong East Street 31,0.0,Free
64,Meridian Junior College,Fitness & Wellness,21 Pasir Ris Street 71,0.0,Free
65,Serangoon Garden Secondary School,Fitness & Wellness,21 Serangoon North Ave 1,0.0,Free
66,Singapore Philatelic Museum,Cultural & Heritage,23-B Coleman St,0.0,Free
67,Maghain Aboth Synagogue,Cultural & Heritage,24/26 Waterloo Street,0.0,Free
68,Sri Mariamman Temple,Cultural & Heritage,244 South Bridge Road,0.0,Free
69,Tampines Secondary School,Fitness & Wellness,252 Tampines St 12,0.0,Free
70,Sultan Mosque,Cultural & Heritage,3 Muscat Street,0.0,Free
71,Loyang Primary School,Fitness & Wellness,3 Pasir Ris Drive 6,0.0,Free
72,PARKROYAL on Pickering,Cultural & Heritage,3 Upper Pickering Street,0.0,Free
73,Woodgrove Secondary School,Fitness & Wellness,3 Woodlands Ave 6,0.0,Free
74,CHIJMES,Cultural & Heritage,30 Victoria Street,0.0,Free
75,New Town Primary School,Fitness & Wellness,300 Tanglin Halt Road,0.0,Free
76,Yio Chu Kang Secondary School,Fitness & Wellness,3063 Ang Mo Kio Avenue 5,0.0,Free
77,Reflections at Bukit Chandu,Cultural & Heritage,31 - K Pepys Rd,0.0,Free
78,Hort Park - The Gardening Hub,Outdoor & Nature,"33 Hyderabad Road, Off Alexandra Road",0.0,Free
79,The Southern Ridges,Outdoor & Nature,"33 Hyderabad Road, Off Alexandra Road",0.0,Free
80,Former Ford Factory,Cultural & Heritage,351 Upper Bukit Timah Rd,0.0,Free
81,The Peranakan Museum,Cultural & Heritage,39 Armenian St,18.0,$
82,Peranakan Museum,Cultural & Heritage,39 Armenian Street,0.0,Free
83,Singapore Art Museum,Cultural & Heritage,39 Keppel Rd,0.0,Free
84,Xinghua Primary School,Fitness & Wellness,45 Hougang Ave 1,0.0,Free
85,Shuqun Secondary School,Fitness & Wellness,450 Jurong East St 21,0.0,Free
86,Chinatown Heritage Centre,Cultural & Heritage,48 Pagoda Street,0.0,Free
87,Indian Heritage Centre,Cultural & Heritage,5 Campbell Ln,0.0,Free
88,Xingnan Primary School,Fitness & Wellness,5 Jurong West Street 91,0.0,Free
89,Zhang De Primary School,Fitness & Wellness,51 Jalan Membina,0.0,Free
90,North View Secondary School,Fitness & Wellness,530 Yishun Ring Road,0.0,Free
91,ArtScience Museum,Cultural & Heritage,6 Bayfront Ave,0.0,Free
92,Armenian Church,Cultural & Heritage,60 Hill Street,0.0,Free
93,Temasek Secondary School,Fitness & Wellness,600 Upper East Coast Road,0.0,Free
94,Kranji Secondary School,Fitness & Wellness,61 Choa Chu Kang Street 51,0.0,Free
95,West Spring Secondary School,Fitness & Wellness,61 Senja Road,0.0,Free
96,River Safari,Cultural & Heritage,80 Mandai Lake Road,0.0,Free
97,Singapore Zoo,Cultural & Heritage,80 Mandai Lake Road,0.0,Free
98,Malay Heritage Centre,Cultural & Heritage,85 Sultan Gate,0.0,Free
99,Gillman Barracks,Cultural & Heritage,9 Lock Road,0.0,Free
100,Kranji War Memorial,Cultural & Heritage,9 Woodlands Road,0.0,Free
101,Naval Base Secondary School,Fitness & Wellness,901 Yishun Ring Road,0.0,Free
102,National Museum of Singapore,Cultural & Heritage,93 Stamford Rd,10.0,$
103,Tanjong Pagar RICOH Park,Outdoor & Nature,Above the Tanjong Pagar MRT station,0.0,Free
104,ACE THE PLACE CC DANCEFIT CLUB 2025,Social & Community Events,Ace The Place CC,~36.0,$
105,Admiralty AAC & ACE The Place CC SCEC - Admiralty Wellness Fiesta 2025,Social & Community Events,Ace The Place CC,2.0,$
106,"Admiralty AAC Karaoke Friday (Every Friday, 2pm - 5pm)",Social & Community Events,Ace The Place CC,3.0,$
107,Admiralty AAC/SCEC Brisk Walk and Local Tour,Social & Community Events,Ace The Place CC,5.0,$
108,Admiralty CSN Netball 2025,Social & Community Events,Ace The Place CC,50.0,$
109,Admiralty CSN PACF 2025,Social & Community Events,Ace The Place CC,50.0,$
110,Admiralty-Vista Singing Competition 2025,Social & Community Events,Ace The Place CC,20.0,$
111,Dumpling Festival 2025,Social & Community Events,Ace The Place CC,10.0,$
112,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Ace The Place CC,~85.0,$$
113,Indian Classical Dance (Adult) - Elementary (HealthierSG),Workshops & Classes,Ace The Place CC,~205.0,$$$
114,Indian Classical Dance (Children) - Elementary,Workshops & Classes,Ace The Place CC,~205.0,$$$
115,K-Pop MV Dance! (HealthierSG),Workshops & Classes,Ace The Place CC,~47.5,$
116,Learn AI tools for schoolwork,Social & Community Events,Ace The Place CC,0.0,Free
117,Pasir Ris Beach Clean Up!,Social & Community Events,Ace The Place CC,0.0,Free
118,Zumba® Fitness (HealthierSG),Fitness & Wellness,Ace The Place CC,~100.0,$$
119,Dhoby Ghaut Green,Outdoor & Nature,"Adjacent to Dhoby Ghaut MRT Station, opposite the Park Mall Shopping Centre",0.0,Free
120,Woodlands Waterfront Park,Outdoor & Nature,Admiralty Road West,0.0,Free
121,Admiralty Zone 10 RN Wild Life Asia,Social & Community Events,Admiralty Zone 10 RN,10.0,$
122,Admiralty Zone 3 RN Tea Party with Neighbours (Blk 551 & 552),Social & Community Events,Admiralty Zone 3 RN,0.0,Free
123,Admiralty Zone 4 RN Garden By The Bay 2024 (April 2025),Social & Community Events,Admiralty Zone 4 RN,~8.0,$
124,Admiralty Zone 4 RN Terrarium Workshop 2025,Workshops & Classes,Admiralty Zone 4 RN,10.0,$
125,Admiralty Zone 5 RN - Buka Puasa with Z5,Social & Community Events,Admiralty Zone 5 RN,1.0,$
126,Admiralty Zone 5 RN - Movie Night with Old Chang Kee Truck,Social & Community Events,Admiralty Zone 5 RN,2.0,$
127,Admiralty Zone 5 RN Breakfast with Seniors,Social & Community Events,Admiralty Zone 5 RN,0.0,Free
128,Admiralty Zone 5 RN Tea Party with Neighbours (Blk 684A & 684B),Social & Community Events,Admiralty Zone 5 RN,0.0,Free
129,Admiralty Zone 6 RN: Hari Raya Bus Tour 2025,Social & Community Events,Admiralty Zone 6 RN,2.0,$
130,Admiralty Zone 7 RN: Breakfast with Seniors (23 March 2025),Social & Community Events,Admiralty Zone 7 RN,0.0,Free
131,Admiralty Zone 7 RN: Breakfast with Seniors (6 April 2025),Social & Community Events,Admiralty Zone 7 RN,0.0,Free
132,Admiralty Zone 7 RN: Educational Tour,Social & Community Events,Admiralty Zone 7 RN,~3.0,$
133,Admiralty Zone 7 RN: Family Colour Art Fest,Social & Community Events,Admiralty Zone 7 RN,5.0,$
134,"Admiralty Zone 7 RN: Karaoke Saturdays (Every Saturday, 5.30pm - 9.30pm)",Social & Community Events,Admiralty Zone 7 RN,3.0,$
