Name	Type	Location	Price
Raffles Singapore	Cultural & Heritage	1 Beach Road	$0.00 
Singapore Botanic Gardens	Outdoor & Nature	1 Cluny Road	$0.00 
Asian Civilisations Museum	Cultural & Heritage	1 Empress Pl	$12.00 
Esplanade Theatre	Cultural & Heritage	1 Esplanade Drive	$0.00 
Lasalle College of the Arts	Cultural & Heritage	1 McNally Street	$0.00 
Old Supreme Court	Cultural & Heritage	1 St Andrew's Road	$0.00 
National Gallery Singapore	Cultural & Heritage	1 St. Andrew's Road	$0.00 
Delta Sports and Recreation Centre (Swimming)	Fitness & Wellness	900 Tiong Bahru Road Singapore 158790	$1.00 
Queenstown Sports & Recreation Centre (Swimming)	Fitness & Wellness	473 Stirling Road Singapore 148948	$1.00 
Katong Swimming Complex (Swimming)	Fitness & Wellness	111 Wilkinson Road Singapore 436752	$1.00 
Water-Venture (Kallang)	Fitness & Wellness	"10 Stadium Ln, Singapore 397774"	$15.00 
Clementi Sports and Recreation Centre (Swimming)	Fitness & Wellness	520 Clementi Avenue 3 Singapore 129908	$1.00 
Jalan Besar Sports and Recreation Centre (Swimming)	Fitness & Wellness	100 Tyrwhitt Road Singapore 207542	$1.00 
Water-Venture (East Coast)	Fitness & Wellness	"1390 ECP, Singapore 468961"	$15.00 to $35.00
Co-Curricular Activities Branch (CCAB) Sports Fac (Swimming)	Fitness & Wellness	"21 Evans Rd, Singapore 259368."	$1.00 
Geylang East Swimming Complex	Fitness & Wellness	"601 Aljunied Ave 1, Singapore 389862"	$1.00 
Kallang Basin Swimming Complex	Fitness & Wellness	"23 Geylang Bahru Ln, Singapore 339628"	$1.00 
Bedok Sports and Recreation Centre (Swimming)	Fitness & Wellness	"11 Bedok North Street 1, Singapore 469662"	$1.00 
Toa Payoh Sports and Recreation Centre (Swimming)	Fitness & Wellness	"301 Lor 6 Toa Payoh, Singapore 319392"	$1.00 
Jurong West Sports and Recreation Centre (Swimming)	Fitness & Wellness	"20 Jurong West Street 93, Singapore 648965"	$1.00 
Water-Venture (Bedok Reservoir)	Fitness & Wellness	911 Bedok Reservoir Rd	$15.00 
Bukit Batok Swimming Complex	Fitness & Wellness	"2 Bukit Batok Street 22, Singapore 659581"	$1.00 
Jurong East Sports and Recreation Centre (Swimming)	Fitness & Wellness	"21 Jurong East Street 31, Singapore 609517"	$1.00 
Bishan Sports and Recreation Centre (Swimming)	Fitness & Wellness	1 Bishan Street 14 Singapore 579778	$1.00 
Tampines Swimming Complex	Fitness & Wellness	"505 Tampines Ave 5, Singapore 529652"	$1.00 
Serangoon Sports and Recreation Centre (Swimming)	Fitness & Wellness	"35 Yio Chu Kang Rd, Singapore 545552"	$1.00 
Ang Mo Kio Swimming Complex	Fitness & Wellness	"1771 Ang Mo Kio Ave 1, Singapore 569978"	$1.00 
Hougang Sports and Recreation Centre (Swimming)	Fitness & Wellness	95 Hougang Ave 4	$1.00 
Pasir Ris Sports and Recreation Centre (Swimming)	Fitness & Wellness	"120 Pasir Ris Central, Singapore 519640"	$1.00 
Yio Chu Kang Sports and Recreation Centre (Swimming)	Fitness & Wellness	202 Ang Mo Kio Avenue 9 Singapore 569771	$1.00 
Water-Venture (Pasir Ris)	Fitness & Wellness	"125 Elias Rd, Singapore 519926"	$15.00 to $50.00
Choa Chu Kang Sports and Recreation Centre (Swimming)	Fitness & Wellness	"1 Choa Chu Kang Street 53, Singapore 689236"	$1.00 
Sengkang Sports and Recreation Centre (Swimming)	Fitness & Wellness	"57 Anchorvale Rd, Singapore 544964"	$1.00 
Water-Venture (Lower Seletar Reservoir)	Fitness & Wellness	"100 Yishun Ave 1, Singapore 769140"	$15.00 
Yishun Swimming Complex	Fitness & Wellness	"351 Yishun Ave 3, Singapore 769057"	$1.00 
Woodlands Sports and Recreation Centre (Swimming)	Fitness & Wellness	"2 Woodlands Street 12, Singapore 738599"	$1.00 
Water-Venture (Sembawang)	Fitness & Wellness	"60 Jln Mempurong, Singapore 759058"	$15.00 
Woodlands Primary School	Fitness & Wellness	10 Woodlands Drive 50	$0.00 
Woodlands Ring Secondary School	Fitness & Wellness	10 Woodlands Ring Road	$0.00 
Orchid Park Secondary School	Fitness & Wellness	10 Yishun Street 81	$0.00 
Dairy Farm Nature Park	Outdoor & Nature	100 Dairy Farm Road	$0.00 
Yuhua Secondary School	Fitness & Wellness	11 Jurong East Street 24	$0.00 
