Name,Type,Location,Cost
Serangoon Garden Secondary School,Outdoor & Nature,21 Serangoon North Ave 1,$0.00
Shuqun Secondary School,Outdoor & Nature,450 Jurong East St 21,$0.00
Jurong East Sports and Recreation Centre,Outdoor & Nature,21 Jurong East Street 31,$0.00
Kent Ridge Secondary School,Outdoor & Nature,147 West Coast Road,$0.00
Kranji Secondary School,Outdoor & Nature,61 Choa Chu Kang Street 51,$0.00
Loyang Primary School,Outdoor & Nature,3 Pasir Ris Drive 6,$0.00
Marsiling Secondary School,Outdoor & Nature,12 Marsiling Road,$0.00
Meridian Junior College,Outdoor & Nature,21 Pasir Ris Street 71,$0.00
Meridian Primary School,Outdoor & Nature,20 Pasir Ris Street 71,$0.00
Naval Base Secondary School,Outdoor & Nature,901 Yishun Ring Road,$0.00
New Town Primary School,Outdoor & Nature,300 Tanglin Halt Road,$0.00
North View Secondary School,Outdoor & Nature,530 Yishun Ring Road,$0.00
North Vista Secondary School,Outdoor & Nature,11 Rivervale Link,$0.00
Northland Primary School,Outdoor & Nature,15 Yishun Avenue 4,$0.00
Orchid Park Secondary School,Outdoor & Nature,10 Yishun Street 81,$0.00
Tampines Secondary School,Outdoor & Nature,252 Tampines St 12,$0.00
Temasek Secondary School,Outdoor & Nature,600 Upper East Coast Road,$0.00
Unity Primary School,Outdoor & Nature,21 Choa Chu Kang Crescent,$0.00
Unity Secondary School,Outdoor & Nature,20 Choa Chu Kang St 62,$0.00
West Spring Secondary School,Outdoor & Nature,61 Senja Road,$0.00
Westwood Secondary School,Outdoor & Nature,11 Jurong West Street 25,$0.00
Woodgrove Primary School,Outdoor & Nature,2 Woodlands Drive 14,$0.00
Woodgrove Secondary School,Outdoor & Nature,3 Woodlands Ave 6,$0.00
Woodlands Primary School,Outdoor & Nature,10 Woodlands Drive 50,$0.00
Woodlands Ring Secondary School,Outdoor & Nature,10 Woodlands Ring Road,$0.00
Xinghua Primary School,Outdoor & Nature,45 Hougang Ave 1,$0.00
Xingnan Primary School,Outdoor & Nature,5 Jurong West Street 91,$0.00
Yio Chu Kang Secondary School,Outdoor & Nature,3063 Ang Mo Kio Avenue 5,$0.00
Yuhua Primary School,Outdoor & Nature,158 Jurong East Street 24,$0.00
Yuhua Secondary School,Outdoor & Nature,11 Jurong East Street 24,$0.00
Zhang De Primary School,Outdoor & Nature,51 Jalan Membina,$0.00
Zhonghua Primary School,Outdoor & Nature,12 Serangoon Ave 4,$0.00
Zhonghua Secondary School,Outdoor & Nature,12 Serangoon Ave 4,$0.00
Zonghua Primary School,Outdoor & Nature,12 Serangoon Ave 4,$0.00
Zonghua Secondary School,Outdoor & Nature,12 Serangoon Ave 4,
