Name,Location,Type,Price
Toa Payoh Sports and Recreation Centre,"1.33050649487197,103.850114362781",Fitness & Wellness,$1.00 
Water-Venture (East Coast),"1.31172818403013,103.952223865532",Fitness & Wellness,$15.00 to $35.00
Bishan Sports and Recreation Centre,"1.35404578968511,103.850202512475",Fitness & Wellness,$1.00 
Jurong West Sports and Recreation Centre,"1.3384180649277,103.693768901292",Fitness & Wellness,$1.00 
Kallang Basin Swimming Complex,"1.32270153880671,103.872766525674",Fitness & Wellness,$1.00 
Katong Swimming Complex,"1.3021056413169,103.886081886713",Fitness & Wellness,$1.00 
Queenstown Sports & Recreation Centre,"1.29679757933631,103.802388654322",Fitness & Wellness,$1.00 
Sengkang Sports and Recreation Centre,"1.39549658755664,103.885789260543",Fitness & Wellness,$1.00 
Serangoon Sports and Recreation Centre,"1.35703898147822,103.874593862669",Fitness & Wellness,$1.00 
Tampines Swimming Complex,"1.35429510894432,103.939635805039",Fitness & Wellness,$1.00 
Woodlands Sports and Recreation Centre,"1.43485609421487,103.779118395124",Fitness & Wellness,$1.00 
Yishun Swimming Complex,"1.42406332202283,103.833692365354",Fitness & Wellness,$1.00 
Water-Venture (Lower Seletar Reservoir),"1.40966129498616,103.831391831712",Fitness & Wellness,$15.00 
Water-Venture (Bedok Reservoir),"1.34245540707367,103.930658217801",Fitness & Wellness,$15.00 
Water-Venture (Changi),"1.39105655777757,103.989879302867",Fitness & Wellness,$15.00 
Water-Venture (Kallang),"1.30372454062563,103.867608003726",Fitness & Wellness,$15.00 
Water-Venture (Pasir Ris),"1.38494697356855,103.943446101151",Fitness & Wellness,$15.00 to $50.00
Water-Venture (Sembawang),"1.45913413340653,103.843152369033",Fitness & Wellness,$15.00 
Ang Mo Kio Swimming Complex,"1.36307895297343,103.849851698772",Fitness & Wellness,$1.00 
Bedok Sports and Recreation Centre,"1.32540049090327,103.936455255937",Fitness & Wellness,$1.00 
Bukit Batok Swimming Complex,"1.34433159736422,103.747954223108",Fitness & Wellness,$1.00 
Buona Vista Swimming Complex,"1.31094740934534,103.793134174577",Fitness & Wellness,$1.00 
Choa Chu Kang Sports and Recreation Centre,"1.39055252087672,103.748024138266",Fitness & Wellness,$1.00 
Clementi Sports and Recreation Centre,"1.31043877009911,103.765826634595",Fitness & Wellness,$1.00 
Co-Curricular Activities Branch (CCAB) Sports Fac,"1.31826980789399,103.818969923681",Fitness & Wellness,$1.00 
Delta Sports and Recreation Centre,"1.28931175675376,103.819320925013",Fitness & Wellness,$1.00 
Geylang East Swimming Complex,"1.32095367943092,103.887659816209",Fitness & Wellness,$1.00 
Hougang Sports and Recreation Centre,"1.36991088722857,103.887094825238",Fitness & Wellness,$1.00 
Jalan Besar Sports and Recreation Centre,"1.31085491681637,103.859961714822",Fitness & Wellness,$1.00 
Jurong East Sports and Recreation Centre,"1.34679360312397,103.729146210769",Fitness & Wellness,$1.00 
Pasir Ris Sports and Recreation Centre,"1.3744484576709,103.951822505812",Fitness & Wellness,$1.00 
Yio Chu Kang Sports and Recreation Centre,"1.38153709452424,103.846747885065",Fitness & Wellness,$1.00 
