year,museum,visitorship
2013,Asian Civilisations Museum,452384
2013,National Museum of Singapore,1199031
2013,The Peranakan Museum,373929
2013,Singapore Art Museum,728978
2013,Former Ford Factory,39301
2013,Singapore Philatelic Museum,117466
2013,Reflections at Bukit Chandu,44093
2013,Sun Yat Sen Nanyang Memorial Hall,101544
2013,Malay Heritage Centre,152345
2013,Indian Heritage Centre,-
2013,National Gallery Singapore,-
2014,Asian Civilisations Museum,423171
2014,National Museum of Singapore,902083
2014,The Peranakan Museum,417057
2014,Singapore Art Museum,743718
2014,Former Ford Factory,38986
2014,Singapore Philatelic Museum,142106
2014,Reflections at Bukit Chandu,45067
2014,Sun Yat Sen Nanyang Memorial Hall,92287
2014,Malay Heritage Centre,166506
2014,Indian Heritage Centre,-
2014,National Gallery Singapore,-
2015,Asian Civilisations Museum,349587
2015,National Museum of Singapore,774555
2015,The Peranakan Museum,475728
2015,Singapore Art Museum,903357
2015,Former Ford Factory,42357
2015,Singapore Philatelic Museum,152655
2015,Reflections at Bukit Chandu,40138
2015,Sun Yat Sen Nanyang Memorial Hall,97335
2015,Malay Heritage Centre,497002
2015,Indian Heritage Centre,194954
2015,National Gallery Singapore,275623
2016,Asian Civilisations Museum,534255
2016,National Museum of Singapore,777362
2016,The Peranakan Museum,508334
2016,Singapore Art Museum,732913
2016,Former Ford Factory,-
2016,Singapore Philatelic Museum,160034
2016,Reflections at Bukit Chandu,34267
2016,Sun Yat Sen Nanyang Memorial Hall,133159
2016,Malay Heritage Centre,508219
2016,Indian Heritage Centre,146101
2016,National Gallery Singapore,1585332
2017,Asian Civilisations Museum,488554
2017,National Museum of Singapore,901486
2017,The Peranakan Museum,473162
2017,Singapore Art Museum,414692
2017,Former Ford Factory,105409
2017,Singapore Philatelic Museum,147594
2017,Reflections at Bukit Chandu,39403
2017,Sun Yat Sen Nanyang Memorial Hall,122018
2017,Malay Heritage Centre,697756
2017,Indian Heritage Centre,176599
2017,National Gallery Singapore,1849651
2018,Asian Civilisations Museum,524932
2018,National Museum of Singapore,959632
2018,The Peranakan Museum,213226
2018,Singapore Art Museum,519439
2018,Former Ford Factory,103664
2018,Singapore Philatelic Museum,144262
2018,Reflections at Bukit Chandu,25078
2018,Sun Yat Sen Nanyang Memorial Hall,213764
2018,Malay Heritage Centre,728896
2018,Indian Heritage Centre,221055
2018,National Gallery Singapore,1732703
2019,Asian Civilisations Museum,670329
2019,National Museum of Singapore,1099262
2019,The Peranakan Museum,59506
2019,Singapore Art Museum,791137
2019,Former Ford Factory,90048
2019,Singapore Philatelic Museum,32240
2019,Reflections at Bukit Chandu,-
2019,Sun Yat Sen Nanyang Memorial Hall,219428
2019,Malay Heritage Centre,761301
2019,Indian Heritage Centre,236015
2019,National Gallery Singapore,1818236
