Name,Location,Type,Time,Price
Aromatherapy - The art of blending and mixing,Sengkang CC,Fitness & Wellness,10:00 AM - 12:00 PM,$28.00
Aromatherapy - The art of blending and mixing,Tampines Changkat CC,Fitness & Wellness,2:00 PM - 4:00 PM,From $28.00 to $33.00
SkillsFuture@PA Unisex Hair Cutting Course Module 1,Nee Soon East CC,Fitness & Wellness,9:30 AM - 1:30 PM,From $220.00 to $230.00
SkillsFuture@PA Unisex Hair Cutting Course Module 2,Nee Soon East CC,Fitness & Wellness,9:30 AM - 1:30 PM,From $230.00 to $240.00
SkillsFuture@PA Unisex Hair Cutting Course Module 1,Marymount CC,Fitness & Wellness,2:00 PM - 6:00 PM,From $220.00 to $230.00
SkillsFuture@PA Unisex Hair Cutting Course Module 1,Nanyang CC,Fitness & Wellness,6:00 PM - 10:00 PM,From $220.00 to $230.00
SkillsFuture@PA Unisex Hair Cutting Course Module 2,Pasir Ris Elias CC,Fitness & Wellness,6:30 PM - 9:45 PM,From $220.00 to $230.00
SkillsFuture@PA Basic Make Up,Clementi CC,Fitness & Wellness,10:30 AM - 12:30 PM,From $160.00 to $170.00
SkillsFuture@PA Hairstyling (Elementary),Clementi CC,Fitness & Wellness,1:30 PM - 4:00 PM,From $160.00 to $170.00
SkillsFuture@PA Unisex Hair Cutting Course Module 1,Clementi CC,Fitness & Wellness,6:00 PM - 10:00 PM,From $200.00 to $210.00
SkillsFuture@PA Unisex Hair Cutting Course Module 2,Clementi CC,Fitness & Wellness,6:00 PM - 10:00 PM,From $220.00 to $230.00
SkillsFuture@PA Unisex Hair Cutting Course Module 1,Hougang CC,Fitness & Wellness,1:00 PM - 5:00 PM,From $210.00 to $220.00
SkillsFuture@PA Unisex Hair Cutting Course Module 2,Hillview CC,Fitness & Wellness,1:30 PM - 5:30 PM,$220.00
Hairdressing/Styling (Elementary),Ang Mo Kio-Hougang Sunflower RN,Fitness & Wellness,7:00 PM - 9:00 PM,$180.00
Acupuncture Point Massage,Pasir Ris Atlantis RC,Fitness & Wellness,2:00 PM - 4:00 PM,$20.00
Gua Sha for Health,Hougang Zone 1 RN,Fitness & Wellness,10:00 AM - 11:30 AM,From $25.00 to $30.00
TCM for Women,Hougang Zone 4 RN,Fitness & Wellness,10:00 AM - 12:30 PM,From $200.00 to $210.00
TCM for Women,Hougang Zone 5 RN,Fitness & Wellness,7:00 PM - 9:30 PM,From $200.00 to $210.00
Meridian Therapy,Toa Payoh North Zone 1 RN,Fitness & Wellness,2:00 PM - 3:30 PM,From $70.00 to $80.00
SkillsFuture@PA PC Preparation in 9 Hours + Hands-On,Chua Chu Kang CC,Workshops & Classes,7:00 PM - 10:00 PM,From $140.00 to $145.00
SkillsFuture@PA PC DIY in 9 Hours + Hands-On,Chua Chu Kang CC,Workshops & Classes,7:00 PM - 10:00 PM,From $140.00 to $145.00
Coffee Appreciation – Fun with Specialty Coffee,Nee Soon South CC,Food & Beverage,10:00 AM - 12:00 PM,From $35.00 to $45.00
SkillsFuture@PA Basic Bartending & Mixology Skills Workshop,Hillview CC,Food & Beverage,10:30 AM - 5:30 PM,$380.00
SkillsFuture@PA Basic Bartending & Mixology Skills Workshop,Hillview CC,Food & Beverage,10:30 AM - 5:30 PM,$380.00
SkillsFuture@PA Basic Bartending & Mixology Skills Workshop,Hillview CC,Food & Beverage,10:30 AM - 5:30 PM,$380.00
